case_kind,comparison,metric,n,mean_difference,ci_low,ci_high,cohen_dz,candidate_only,reference_only,discordant,mcnemar_exact_p
crossing_pedestrian,MIKU-A1,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A3,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A4,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A5,success,100,0.53,0.43,0.63,1.0565902605662256,53,0,53,2.220446049250313e-16
crossing_pedestrian,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A6,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A6,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A7,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
crossing_pedestrian,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A1,success,100,0.0,-0.03,0.03,0.0,1,1,2,1.0
vehicle_cut_in,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A3,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A4,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A5,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A6,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A6,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
vehicle_cut_in,MIKU-A7,success,100,0.03,0.0,0.07,0.1749815896059666,3,0,3,0.25
vehicle_cut_in,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A1,success,100,-0.01,-0.03,0.0,-0.1,0,1,1,1.0
parked_and_oncoming,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A2,success,100,0.02,0.0,0.05,0.14214106244380287,2,0,2,0.5
parked_and_oncoming,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A3,success,100,0.09,0.04,0.15,0.31290907291430187,9,0,9,0.00390625
parked_and_oncoming,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A4,success,100,0.1,0.05,0.16,0.33166247903553997,10,0,10,0.001953125
parked_and_oncoming,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A5,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A6,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A6,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A7,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
parked_and_oncoming,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A1,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A3,success,100,0.69,0.6,0.78,1.4844353765310143,69,0,69,3.3881317890172014e-21
narrow_multi_obstacle,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A4,success,100,0.73,0.64,0.81,1.6360521589077368,73,0,73,2.117582368135751e-22
narrow_multi_obstacle,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A5,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A6,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A6,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A7,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
narrow_multi_obstacle,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A1,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A3,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A4,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A5,success,100,0.48,0.38,0.58,0.9559530081788299,48,0,48,7.105427357601002e-15
interleaved_dynamic,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A6,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A6,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A7,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
interleaved_dynamic,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A1,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A3,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A4,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A4,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A5,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A5,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A6,success,100,-0.16,-0.24,-0.09,-0.4342481186734475,0,16,16,3.0517578125e-05
prediction_noise,MIKU-A6,collision,100,-0.1,-0.16,-0.04,-0.33166247903553997,0,10,10,0.001953125
prediction_noise,MIKU-A7,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
prediction_noise,MIKU-A7,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A1,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A1,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A2,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A2,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A3,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A3,collision,100,0.0,0.0,0.0,0.0,0,0,0,1.0
delayed_crossing,MIKU-A4,success,100,0.0,0.0,0.0,0.0,0,0,0,1.0
